Vehicle Type/Size, Vehicle Color, Vehicle Movement Direction, Vehicle Speed (km/h)
car,black,down,37.79566506544749
car,white,down,n.a.
car,black,down,n.a.
car,black,down,n.a.
car,green,up,n.a.
car,yellow,down,n.a.
car,red,down,25.352765984005398
car,green,down,39.39269675479995
car,white,down,n.a.
car,black,down,n.a.
car,black,down,n.a.
car,green,up,n.a.
car,red,down,n.a.
car,black,down,n.a.
car,green,up,n.a.
car,black,up,n.a.
car,black,down,8.637221610104596
car,black,down,n.a.
car,black,down,n.a.
car,white,down,n.a.
car,green,down,n.a.
car,green,down,n.a.
car,black,down,n.a.
car,green,up,n.a.
car,green,down,n.a.
car,black,down,n.a.
car,green,down,n.a.
car,black,down,n.a.
car,white,down,n.a.
car,black,down,33.77412468959123
car,black,down,24.49073851108551
car,orange,down,n.a.
car,red,down,n.a.
car,black,down,n.a.
